,Player,Nation,Competition,Club,Age,Pos
404,Hugo Bueno,es ESP,Premier League,Wolverhampton Wanderers,21,"DF,MF"
405,Tommy Doyle,eng ENG,Premier League,Wolverhampton Wanderers,22,MF
406,Boubacar Traoré,ml MLI,Premier League,Wolverhampton Wanderers,22,MF
407,Fábio Silva,pt POR,Premier League,Wolverhampton Wanderers,21,FW
408,Daniel Bentley,eng ENG,Premier League,Wolverhampton Wanderers,30,GK
409,Santiago Bueno,uy URU,Premier League,Wolverhampton Wanderers,25,DF
410,Matheus Nunes,pt POR,Premier League,Wolverhampton Wanderers,25,MF
411,Matt Doherty,ie IRL,Premier League,Wolverhampton Wanderers,32,"MF,DF"
412,Sasa Kalajdzic,at AUT,Premier League,Wolverhampton Wanderers,26,FW
413,Jonny Castro,es ESP,Premier League,Wolverhampton Wanderers,29,MF
414,Ty Barnett,eng ENG,Premier League,Wolverhampton Wanderers,18,FW
415,Tawanda Chirewa,eng ENG,Premier League,Wolverhampton Wanderers,20,MF
416,Nathan Fraser,ie IRL,Premier League,Wolverhampton Wanderers,18,FW
417,Enso Gonzalez,py PAR,Premier League,Wolverhampton Wanderers,18,MF
418,Owen Hesketh,wls WAL,Premier League,Wolverhampton Wanderers,21,MF
419,Joseph Hodge,ie IRL,Premier League,Wolverhampton Wanderers,21,MF
420,Justin Hubner,id IDN,Premier League,Wolverhampton Wanderers,20,DF
421,Tom King,wls WAL,Premier League,Wolverhampton Wanderers,28,GK
422,Matthew Whittingham,eng ENG,Premier League,Wolverhampton Wanderers,19,MF
423,Mohamed Salah,eg EGY,Premier League,Liverpool,31,FW
424,Dominik Szoboszlai,hu HUN,Premier League,Liverpool,23,MF
425,Alisson,br BRA,Premier League,Liverpool,31,GK
426,Virgil van Dijk,nl NED,Premier League,Liverpool,32,DF
427,Trent Alexander-Arnold,eng ENG,Premier League,Liverpool,25,DF
428,Luis Díaz,co COL,Premier League,Liverpool,27,FW
429,Alexis Mac Allister,ar ARG,Premier League,Liverpool,25,MF
430,Darwin Núñez,uy URU,Premier League,Liverpool,24,FW
431,Ibrahima Konaté,fr FRA,Premier League,Liverpool,24,DF
432,Cody Gakpo,nl NED,Premier League,Liverpool,24,"FW,MF"
433,Joël Matip,cm CMR,Premier League,Liverpool,32,DF
434,Joe Gomez,eng ENG,Premier League,Liverpool,26,DF
435,Andrew Robertson,sct SCO,Premier League,Liverpool,29,DF
436,Wataru Endo,jp JPN,Premier League,Liverpool,30,MF
437,Diogo Jota,pt POR,Premier League,Liverpool,27,"FW,MF"
438,Kostas Tsimikas,gr GRE,Premier League,Liverpool,27,DF
439,Ryan Gravenberch,nl NED,Premier League,Liverpool,21,MF
440,Curtis Jones,eng ENG,Premier League,Liverpool,22,MF
441,Jarell Quansah,eng ENG,Premier League,Liverpool,20,DF
442,Harvey Elliott,eng ENG,Premier League,Liverpool,20,"MF,FW"
443,Caoimhín Kelleher,ie IRL,Premier League,Liverpool,25,GK
444,Ben Doak,sct SCO,Premier League,Liverpool,18,FW
445,James McConnell,eng ENG,Premier League,Liverpool,19,MF
446,Adrián,es ESP,Premier League,Liverpool,37,GK
447,Stefan Bajcetic,es ESP,Premier League,Liverpool,19,DF
448,Conor Bradley,nir NIR,Premier League,Liverpool,20,"DF,MF"
449,Luke Chambers,eng ENG,Premier League,Liverpool,19,DF
450,Bobby Clark,eng ENG,Premier League,Liverpool,18,MF
451,Trey Nyoni,eng ENG,Premier League,Liverpool,16,MF
452,Marcelo Pitaluga,br BRA,Premier League,Liverpool,21,GK
453,Calum Scanlon,eng ENG,Premier League,Liverpool,18,MF
454,Illia Zabarnyi,ua UKR,Premier League,Bournemouth,21,DF
455,Dominic Solanke,eng ENG,Premier League,Bournemouth,26,FW
456,Ryan Christie,sct SCO,Premier League,Bournemouth,28,MF
457,Neto,br BRA,Premier League,Bournemouth,34,GK
458,Marcus Tavernier,eng ENG,Premier League,Bournemouth,24,FW
459,Marcos Senesi,ar ARG,Premier League,Bournemouth,26,DF
460,Milos Kerkez,hu HUN,Premier League,Bournemouth,20,DF
461,Lewis Cook,eng ENG,Premier League,Bournemouth,26,MF
462,Philip Billing,dk DEN,Premier League,Bournemouth,27,MF
463,Max Aarons,eng ENG,Premier League,Bournemouth,24,DF
464,Antoine Semenyo,gh GHA,Premier League,Bournemouth,24,FW
465,Justin Kluivert,nl NED,Premier League,Bournemouth,24,"MF,FW"
466,Adam Smith,eng ENG,Premier League,Bournemouth,32,DF
467,Lloyd Kelly,eng ENG,Premier League,Bournemouth,25,DF
468,Dango Ouattara,bf BFA,Premier League,Bournemouth,21,"FW,DF"
469,Alex Scott,eng ENG,Premier League,Bournemouth,20,MF
470,Joe Rothwell,eng ENG,Premier League,Bournemouth,29,MF
471,Luis Sinisterra,co COL,Premier League,Bournemouth,24,"FW,MF"
472,David Brooks,wls WAL,Premier League,Bournemouth,26,"FW,MF"
473,Ionuț Radu,ro ROU,Premier League,Bournemouth,26,GK
474,Chris Mepham,wls WAL,Premier League,Bournemouth,26,DF
475,Jaidon Anthony,eng ENG,Premier League,Bournemouth,24,FW
476,Kieffer Moore,wls WAL,Premier League,Bournemouth,31,"FW,MF"
477,Hamed Junior Traorè,ci CIV,Premier League,Bournemouth,23,MF
478,James Hill,eng ENG,Premier League,Bournemouth,22,DF
479,Ben Greenwood,ie IRL,Premier League,Bournemouth,20,DF
480,Gavin Kilkenny,ie IRL,Premier League,Bournemouth,23,MF
481,Mark Travers,ie IRL,Premier League,Bournemouth,24,GK
482,Pascal Groß,de GER,Premier League,Brighton and Hove Albion,32,"MF,DF"
483,Lewis Dunk,eng ENG,Premier League,Brighton and Hove Albion,32,DF
484,Billy Gilmour,sct SCO,Premier League,Brighton and Hove Albion,22,MF
485,Kaoru Mitoma,jp JPN,Premier League,Brighton and Hove Albion,26,FW
486,Jan Paul van Hecke,nl NED,Premier League,Brighton and Hove Albion,23,DF
487,Simon Adingra,ci CIV,Premier League,Brighton and Hove Albion,22,"FW,MF"
488,Jason Steele,eng ENG,Premier League,Brighton and Hove Albion,33,GK
489,Evan Ferguson,ie IRL,Premier League,Brighton and Hove Albion,19,FW
490,João Pedro,br BRA,Premier League,Brighton and Hove Albion,22,"FW,MF"
491,Joël Veltman,nl NED,Premier League,Brighton and Hove Albion,32,DF
492,Bart Verbruggen,nl NED,Premier League,Brighton and Hove Albion,21,GK
493,James Milner,eng ENG,Premier League,Brighton and Hove Albion,38,"DF,MF"
494,Danny Welbeck,eng ENG,Premier League,Brighton and Hove Albion,33,"FW,MF"
495,Igor,br BRA,Premier League,Brighton and Hove Albion,25,DF
496,Adam Lallana,eng ENG,Premier League,Brighton and Hove Albion,35,MF
497,Pervis Estupiñán,ec ECU,Premier League,Brighton and Hove Albion,25,DF
498,Adam Webster,eng ENG,Premier League,Brighton and Hove Albion,29,DF
499,Carlos Baleba,cm CMR,Premier League,Brighton and Hove Albion,20,MF
500,Solly March,eng ENG,Premier League,Brighton and Hove Albion,29,"FW,DF"
501,Jack Hinshelwood,eng ENG,Premier League,Brighton and Hove Albion,18,"DF,MF"
502,Facundo Buonanotte,ar ARG,Premier League,Brighton and Hove Albion,19,"MF,FW"
503,Mahmoud Dahoud,de GER,Premier League,Brighton and Hove Albion,28,MF
504,Ansu Fati,es ESP,Premier League,Brighton and Hove Albion,21,"MF,FW"
505,Tariq Lamptey,gh GHA,Premier League,Brighton and Hove Albion,23,"DF,FW"
506,Julio César Enciso,py PAR,Premier League,Brighton and Hove Albion,19,MF
507,Jakub Moder,pl POL,Premier League,Brighton and Hove Albion,24,"MF,DF"
508,Benicio Boaitey,eng ENG,Premier League,Brighton and Hove Albion,20,"DF,FW"
509,Steven Alzate,co COL,Premier League,Brighton and Hove Albion,25,MF
510,Luca Barrington,eng ENG,Premier League,Brighton and Hove Albion,19,FW
511,Josh Duffus,eng ENG,Premier League,Brighton and Hove Albion,19,MF
512,Ben Jackson,eng ENG,Premier League,Brighton and Hove Albion,20,DF
513,Leigh Kavanagh,ie IRL,Premier League,Brighton and Hove Albion,20,DF
514,Mark O'Mahony,ie IRL,Premier League,Brighton and Hove Albion,19,FW
515,Imari Samuels,eng ENG,Premier League,Brighton and Hove Albion,20,DF
516,James Trafford,eng ENG,Premier League,Burnley,21,GK
517,Zeki Amdouni,ch SUI,Premier League,Burnley,23,"FW,MF"
518,Josh Brownhill,eng ENG,Premier League,Burnley,28,MF
519,Sander Berge,no NOR,Premier League,Burnley,25,MF
520,Dara O'Shea,ie IRL,Premier League,Burnley,24,DF
521,Charlie Taylor,eng ENG,Premier League,Burnley,30,DF
522,Jordan Beyer,de GER,Premier League,Burnley,23,DF
523,Vitinho,br BRA,Premier League,Burnley,24,DF
524,Luca Koleosho,it ITA,Premier League,Burnley,19,"MF,FW"
525,Lyle Foster,za RSA,Premier League,Burnley,23,"FW,MF"
526,Ameen Al-Dakhil,be BEL,Premier League,Burnley,21,DF
527,Josh Cullen,ie IRL,Premier League,Burnley,27,MF
528,Jóhann Berg Guðmundsson,is ISL,Premier League,Burnley,33,MF
529,Connor Roberts,wls WAL,Premier League,Burnley,28,DF
530,Wilson Odobert,fr FRA,Premier League,Burnley,19,"MF,FW"
531,Jay Rodriguez,eng ENG,Premier League,Burnley,34,FW
532,Jacob Bruun Larsen,dk DEN,Premier League,Burnley,25,"MF,FW"
533,Mike Trésor,be BEL,Premier League,Burnley,24,"FW,MF"
534,Hannes Delcroix,be BEL,Premier League,Burnley,24,DF
535,Aaron Ramsey,eng ENG,Premier League,Burnley,20,"MF,FW"
536,Hjalmar Ekdal,se SWE,Premier League,Burnley,25,DF
537,Anass Zaroury,ma MAR,Premier League,Burnley,23,"FW,MF"
538,Benson Manuel,be BEL,Premier League,Burnley,26,"MF,FW"
539,Nathan Redmond,eng ENG,Premier League,Burnley,29,"FW,MF"
540,Michael Obafemi,ie IRL,Premier League,Burnley,23,"FW,MF"
541,Jack Cork,eng ENG,Premier League,Burnley,34,"MF,DF"
542,CJ Egan-Riley,eng ENG,Premier League,Burnley,21,DF
543,Han-Noah Massengo,fr FRA,Premier League,Burnley,22,MF
544,Arijanet Muric,xk KVX,Premier League,Burnley,25,GK
545,Lawrence Vigouroux,cl CHI,Premier League,Burnley,30,GK
546,Jordan Pickford,eng ENG,Premier League,Everton,29,GK
547,James Tarkowski,eng ENG,Premier League,Everton,31,DF
548,James Garner,eng ENG,Premier League,Everton,22,MF
549,Jarrad Branthwaite,eng ENG,Premier League,Everton,21,DF
550,Abdoulaye Doucouré,ml MLI,Premier League,Everton,31,"FW,MF"
551,Vitaliy Mykolenko,ua UKR,Premier League,Everton,24,DF
552,Amadou Onana,be BEL,Premier League,Everton,22,MF
553,Dwight McNeil,eng ENG,Premier League,Everton,24,"MF,FW"
554,Ashley Young,eng ENG,Premier League,Everton,38,DF
555,Jack Harrison,eng ENG,Premier League,Everton,27,"MF,FW"
556,Dominic Calvert-Lewin,eng ENG,Premier League,Everton,26,FW
557,Idrissa Gana Gueye,sn SEN,Premier League,Everton,34,MF
558,Nathan Patterson,sct SCO,Premier League,Everton,22,DF
559,Beto,gw GNB,Premier League,Everton,25,FW
560,Arnaut Danjuma,nl NED,Premier League,Everton,26,"FW,MF"
561,Michael Keane,eng ENG,Premier League,Everton,31,DF
562,Séamus Coleman,ie IRL,Premier League,Everton,35,DF
563,Alex Iwobi,ng NGA,Premier League,Everton,27,MF
564,Lewis Dobbin,eng ENG,Premier League,Everton,21,MF
565,André Gomes,pt POR,Premier League,Everton,30,MF
566,Neal Maupay,fr FRA,Premier League,Everton,27,FW
567,Ben Godfrey,eng ENG,Premier League,Everton,26,DF
568,Youssef Chermiti,pt POR,Premier League,Everton,19,FW
569,Thomas Cannon,ie IRL,Premier League,Everton,21,FW
570,Tyler Onyango,eng ENG,Premier League,Everton,20,MF
571,Elijah Campbell,eng ENG,Premier League,Everton,19,DF
572,Mackenzie Hunt,eng ENG,Premier League,Everton,22,DF
573,Andy Lonergan,ie IRL,Premier League,Everton,40,GK
574,Jenson Metcalfe,eng ENG,Premier League,Everton,19,MF
575,João Virgínia,pt POR,Premier League,Everton,24,GK
576,Joachim Andersen,dk DEN,Premier League,Crystal Palace,27,DF
577,Marc Guéhi,eng ENG,Premier League,Crystal Palace,23,DF
578,Tyrick Mitchell,eng ENG,Premier League,Crystal Palace,24,DF
579,Jordan Ayew,gh GHA,Premier League,Crystal Palace,32,"FW,MF"
580,Sam Johnstone,eng ENG,Premier League,Crystal Palace,30,GK
581,Joel Ward,eng ENG,Premier League,Crystal Palace,34,DF
582,Jefferson Lerma,co COL,Premier League,Crystal Palace,29,MF
583,Odsonne Édouard,fr FRA,Premier League,Crystal Palace,26,FW
584,Jeffrey Schlupp,gh GHA,Premier League,Crystal Palace,31,"FW,MF"
585,Eberechi Eze,eng ENG,Premier League,Crystal Palace,25,"MF,FW"
586,Will Hughes,eng ENG,Premier League,Crystal Palace,28,MF
587,Cheick Doucouré,ml MLI,Premier League,Crystal Palace,24,MF
588,Chris Richards,us USA,Premier League,Crystal Palace,23,"MF,DF"
589,Jean-Philippe Mateta,fr FRA,Premier League,Crystal Palace,26,FW
590,Michael Olise,fr FRA,Premier League,Crystal Palace,22,"FW,MF"
591,Nathaniel Clyne,eng ENG,Premier League,Crystal Palace,32,DF
592,Dean Henderson,eng ENG,Premier League,Crystal Palace,26,GK
593,Jaïro Riedewald,nl NED,Premier League,Crystal Palace,27,"MF,FW"
594,Jesuran Rak Sakyi,eng ENG,Premier League,Crystal Palace,21,"MF,FW"
595,Naouirou Ahamada,fr FRA,Premier League,Crystal Palace,21,"MF,FW"
596,David Ozoh,eng ENG,Premier League,Crystal Palace,18,MF
597,Matheus França,br BRA,Premier League,Crystal Palace,19,"FW,MF"
598,Remi Matthews,eng ENG,Premier League,Crystal Palace,29,GK
599,James Tomkins,eng ENG,Premier League,Crystal Palace,34,DF
600,Omotayo Adaramola,ie IRL,Premier League,Crystal Palace,20,DF
601,Malcolm Ebiowei,eng ENG,Premier League,Crystal Palace,20,MF
602,John-Kymani Gordon,eng ENG,Premier League,Crystal Palace,20,FW
603,Rob Holding,eng ENG,Premier League,Crystal Palace,28,DF
604,Ademola Ola-Adebomi,eng ENG,Premier League,Crystal Palace,19,FW
605,Jadan Raymond,wls WAL,Premier League,Crystal Palace,20,MF
606,Joseph Whitworth,eng ENG,Premier League,Crystal Palace,19,GK
607,Thomas Kaminski,be BEL,Premier League,Luton Town,31,GK
608,Alfie Doughty,eng ENG,Premier League,Luton Town,24,"DF,MF"
609,Amari'i Bell,jm JAM,Premier League,Luton Town,29,DF
610,Carlton Morris,eng ENG,Premier League,Luton Town,28,FW
611,Tom Lockyer,wls WAL,Premier League,Luton Town,29,DF
612,Teden Mengi,eng ENG,Premier League,Luton Town,21,DF
613,Ross Barkley,eng ENG,Premier League,Luton Town,30,MF
614,Marvelous Nakamba,zw ZIM,Premier League,Luton Town,30,MF
615,Issa Kaboré,bf BFA,Premier League,Luton Town,22,DF
616,Jacob Brown,sct SCO,Premier League,Luton Town,25,"MF,FW"
617,Chiedozie Ogbene,ie IRL,Premier League,Luton Town,26,"MF,DF"
618,Elijah Adebayo,eng ENG,Premier League,Luton Town,26,FW
619,Gabriel Osho,eng ENG,Premier League,Luton Town,25,DF
620,Andros Townsend,eng ENG,Premier League,Luton Town,32,"MF,FW"
621,Pelly Ruddock Mpanzu,cd COD,Premier League,Luton Town,30,MF
622,Reece Burke,eng ENG,Premier League,Luton Town,27,DF
623,Tahith Chong,nl NED,Premier League,Luton Town,24,MF
624,Albert Sambi Lokonga,be BEL,Premier League,Luton Town,24,MF
625,Ryan John Giles,eng ENG,Premier League,Luton Town,23,"DF,MF"
626,Mads Juel Andersen,dk DEN,Premier League,Luton Town,26,DF
627,Jordan Clark,eng ENG,Premier League,Luton Town,30,MF
628,Cauley Woodrow,eng ENG,Premier League,Luton Town,29,"FW,MF"
629,Luke Berry,eng ENG,Premier League,Luton Town,31,MF
630,Allan Campbell,sct SCO,Premier League,Luton Town,25,MF
631,Aidan Francis,eng ENG,Premier League,Luton Town,21,MF
632,Joseph Johnson,eng ENG,Premier League,Luton Town,17,DF
633,Tim Krul,nl NED,Premier League,Luton Town,35,GK
634,Jayden Luker,eng ENG,Premier League,Luton Town,18,MF
635,John Mcatee,eng ENG,Premier League,Luton Town,24,"FW,MF"
636,Zack Nelson,eng ENG,Premier League,Luton Town,19,MF
637,Dan Potts,eng ENG,Premier League,Luton Town,29,DF
638,James Shea,eng ENG,Premier League,Luton Town,32,GK
639,Ellis Taylor,eng ENG,Premier League 2,Sunderland U21,20,"DF,MF"
640,Marshall Burke,eng ENG,Premier League 2,Sunderland U21,18,"MF,DF"
641,Michael Spellman,eng ENG,Premier League 2,Sunderland U21,21,"MF,FW"
642,Harrison Jones,eng ENG,Premier League 2,Sunderland U21,19,MF
643,Harry Gardiner,eng ENG,Premier League 2,Sunderland U21,20,"FW,MF"
644,Henry Fieldson,eng ENG,Premier League 2,Sunderland U21,18,"DF,MF"
645,Matt Young,eng ENG,Premier League 2,Sunderland U21,17,GK
646,Nectarios Triantis,au AUS,Premier League 2,Sunderland U21,20,DF
647,Jewison Bennette,cr CRC,Premier League 2,Sunderland U21,19,"MF,FW"
648,Ben Crompton,eng ENG,Premier League 2,Sunderland U21,20,DF
649,Tom Chiabi,eng ENG,Premier League 2,Sunderland U21,20,MF
650,Oliver Bainbridge,eng ENG,Premier League 2,Sunderland U21,18,DF
651,Zac Johnson,eng ENG,Premier League 2,Sunderland U21,19,"DF,MF"
652,Thomas Watson,eng ENG,Premier League 2,Sunderland U21,17,"FW,MF"
653,Luis Semedo,pt POR,Premier League 2,Sunderland U21,20,FW
654,Jenson Seelt,nl NED,Premier League 2,Sunderland U21,20,DF
655,Connor Pye,eng ENG,Premier League 2,Sunderland U21,19,DF
656,Nathan Bishop,eng ENG,Premier League 2,Sunderland U21,24,GK
657,Niall Huggins,wls WAL,Premier League 2,Sunderland U21,23,DF
658,Eliezer Mayenda,es ESP,Premier League 2,Sunderland U21,18,"MF,FW"
659,Adam Richardson,eng ENG,Premier League 2,Sunderland U21,20,GK
660,Callum Wilson,eng ENG,Premier League 2,Sunderland U21,19,DF
661,Nazariy Rusyn,ua UKR,Premier League 2,Sunderland U21,25,FW
662,Chris Rigg,eng ENG,Premier League 2,Sunderland U21,16,MF
663,Timothee Pembele,fr FRA,Premier League 2,Sunderland U21,21,DF
664,Adil Aouchiche,fr FRA,Premier League 2,Sunderland U21,21,MF
665,Ben Middlemas,eng ENG,Premier League 2,Sunderland U21,19,FW
666,Caden Kelly,eng ENG,Premier League 2,Sunderland U21,20,MF
667,Luke Bell,eng ENG,Premier League 2,Sunderland U21,17,DF
668,Mason Burstow,eng ENG,Premier League 2,Sunderland U21,20,MF
669,Thomas Lavery,eng ENG,Premier League 2,Sunderland U21,18,DF
670,Bradley Dack,eng ENG,Premier League 2,Sunderland U21,30,MF
671,Ajibola Alese,eng ENG,Premier League 2,Sunderland U21,23,DF
672,Jay Matete,eng ENG,Premier League 2,Sunderland U21,22,MF
673,Timur Tuterov,ua UKR,Premier League 2,Sunderland U21,18,FW
674,Max Thompson,eng ENG,Premier League 2,Sunderland U21,21,FW
675,Josh Robertson,sct SCO,Premier League 2,Sunderland U21,18,MF
676,Joseph Ryder,eng ENG,Premier League 2,Sunderland U21,18,FW
677,Daniel Cameron,eng ENG,Premier League 2,Sunderland U21,19,MF
678,Kelechi Chibueze,eng ENG,Premier League 2,Sunderland U21,20,GK
679,Benjamin Metcalf,nir NIR,Premier League 2,Sunderland U21,17,GK
680,Jack Whittaker,N/I,Premier League 2,Sunderland U21,0,MF
681,Dejaune Brown,N/I,Premier League 2,Derby County U21,0,FW
682,Adebayo Fapetu,eng ENG,Premier League 2,Derby County U21,19,MF
683,Callum Moore,N/I,Premier League 2,Derby County U21,0,DF
684,Daniel Cox,wls WAL,Premier League 2,Derby County U21,17,DF
685,Tony Weston,eng ENG,Premier League 2,Derby County U21,20,"MF,FW"
686,Henry Jeffcott,eng ENG,Premier League 2,Derby County U21,20,DF
687,Carlos Richards,eng ENG,Premier League 2,Derby County U21,18,MF
688,Harry Evans,N/I,Premier League 2,Derby County U21,0,GK
689,Harry Hawkins,N/I,Premier League 2,Derby County U21,0,"MF,DF"
690,Bradley Johnson,eng ENG,Premier League 2,Derby County U21,36,MF
691,Riley Moloney,eng ENG,Premier League 2,Derby County U21,18,"MF,DF"
692,Alexander Gibson-Hammond,eng ENG,Premier League 2,Derby County U21,21,MF
693,Jack Thompson,eng ENG,Premier League 2,Derby County U21,17,GK
694,Ryan Bartley,eng ENG,Premier League 2,Derby County U21,20,DF
695,Ben Radcliffe,eng ENG,Premier League 2,Derby County U21,19,DF
696,Darren Robinson,nir NIR,Premier League 2,Derby County U21,19,MF
697,Lennon Wheeldon,N/I,Premier League 2,Derby County U21,0,"FW,MF"
698,Keilen Robinson,eng ENG,Premier League 2,Derby County U21,18,DF
699,Charlie Lindsay,nir NIR,Premier League 2,Derby County U21,19,FW
700,Jack Perry,N/I,Premier League 2,Derby County U21,0,"MF,DF"
701,Max Bardell,eng ENG,Premier League 2,Derby County U21,21,DF
702,Cruz Allen,wls WAL,Premier League 2,Derby County U21,16,MF
703,Niall McAndrews,ie IRL,Premier League 2,Derby County U21,16,MF
704,Kwaku Oduroh,eng ENG,Premier League 2,Derby County U21,21,DF
705,Jack Bates,N/I,Premier League 2,Derby County U21,0,MF
706,Jayden Davidson,eng ENG,Premier League 2,Derby County U21,17,FW
707,Owen Oseni,ie IRL,Premier League 2,Derby County U21,20,FW
708,Billy Gough,N/I,Premier League 2,Derby County U21,0,MF
709,Justin Oguntolu,N/I,Premier League 2,Derby County U21,0,FW
710,Lewis Ridd,wls WAL,Premier League 2,Derby County U21,19,GK
711,Rashawn Scott,eng ENG,Premier League 2,Derby County U21,19,MF
712,Josh Shattell,N/I,Premier League 2,Derby County U21,0,GK
713,Jack Hannah,eng ENG,Premier League 2,Middlesbrough U21,21,DF
714,Cain Sykes,eng ENG,Premier League 2,Middlesbrough U21,21,"DF,MF"
715,Max Howells,eng ENG,Premier League 2,Middlesbrough U21,19,"FW,MF"
716,Nathan Simpson,eng ENG,Premier League 2,Middlesbrough U21,19,MF
717,Bryant Bilongo,eng ENG,Premier League 2,Middlesbrough U21,22,"DF,MF"
718,Terrell Agyemang,eng ENG,Premier League 2,Middlesbrough U21,21,"MF,DF"
719,Aidan Bridge,eng ENG,Premier League 2,Middlesbrough U21,18,"MF,DF"
720,Calum Kavanagh,ie IRL,Premier League 2,Middlesbrough U21,20,FW
721,Nathan Fisher,eng ENG,Premier League 2,Middlesbrough U21,18,GK
722,Isaac Fletcher,eng ENG,Premier League 2,Middlesbrough U21,21,"MF,FW"
723,Jack Stott,eng ENG,Premier League 2,Middlesbrough U21,20,"MF,FW"
